Language Accuracy: 0.9788630694499146
NE Accuracy: 0.9688109161793372
Token	Gold Standard	Tagged Language	Named Entity	Evaluation
rabínico	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
about	Eng	Eng	O	Correct
some	Eng	Eng	O	Correct
historical	Eng	Eng	O	Correct
injustice	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
alguna	Spn	Spn	O	Correct
tragedia	Spn	Spn	O	Correct
you	Eng	Eng	O	Correct
felt	Eng	Eng	O	Correct
as	Eng	Eng	O	Correct
keenly	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
your	Eng	Eng	O	Correct
own	Eng	Eng	O	Correct
skin	Eng	Eng	O	Correct
cual	Spn	Spn	O	Correct
si	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
hubieran	Spn	Spn	O	Correct
perpetrado	Spn	Spn	O	Correct
—	Punct	Punct	O	NA
tatuado	Spn	Spn	O	Correct
—	Punct	Punct	O	NA
a	Spn	Spn	O	Correct
ti	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Daddy	NamedEnt	Eng	O/PERSON	Correct
,	Punct	Punct	O	NA
te	Spn	Spn	O	Correct
reconozco	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
los	Spn	Spn	O	Correct
versos	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
“	Punct	Punct	O	NA
Notes	Eng	Eng	O/MISC	Correct
Toward	Eng	Eng	O/MISC	Correct
a	Eng	Eng	O	Correct
Supreme	Eng	Spn	O/ORGANIZATION	Incorrect
Fiction	Eng	Eng	O/ORGANIZATION	Correct
,	Punct	Punct	O	NA
"	Punct	Punct	O	NA
de	Spn	Spn	O	Correct
Wallace	NamedEnt	Eng	PERSON/PERSON	Correct
Stevens	NamedEnt	Eng	PERSON/PERSON	Correct
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
recité	Spn	Spn	O	Correct
full-	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
lowvoiced	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
dry-eyed	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
tu	Spn	Spn	O	Correct
yahrzeit	Yidd	Eng	O	NA
.	Punct	Punct	O	NA
Just	Eng	Eng	O	Correct
days	Eng	Eng	O	Correct
after	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
birthday	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
El	Spn	Spn	O	Correct
25	Num	Num	O	NA
de	Spn	Spn	O	Correct
marzo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
1990	Num	Num	O	NA
fue	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
One	Eng	Eng	O	Correct
year	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
two	Eng	Eng	O	Correct
days	Eng	Eng	O	Correct
after.MEMORY/	EngNoSpace	Eng	O	NA
He	Eng	Eng	O	Correct
had	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
choose.But	EngNoSpace	Eng	O/MISC	NA
it	Eng	Eng	O/MISC	Correct
was	Eng	Eng	O	Correct
not	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
choice	Eng	Eng	O	Correct
Between	Eng	Eng	O	Correct
excluding	Eng	Eng	O	Correct
things.It	EngNoSpace	Eng	O	NA
was	Eng	Eng	O	Correct
not	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
choice	Eng	Eng	O	Correct
Between	Eng	Eng	O/PERSON	Correct
but	Eng	Eng	O	Correct
of.He	EngNoSpace	Eng	O	NA
chose	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
include	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
things	Eng	Eng	O	Correct
That	Eng	Eng	O/ORGANIZATION	Correct
in	Eng	Eng	O	Correct
each	Eng	Eng	O	Correct
other	Eng	Eng	O	Correct
are	Eng	Eng	O	Correct
included	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
whole	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
The	Eng	Eng	O	Correct
complicate	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
amassing	Eng	Eng	O	Correct
harmony	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Ese	Spn	Spn	O	Correct
día	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
sentí	Spn	Spn	O	Correct
—	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
conjured	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
esos	Spn	Spn	O	Correct
reconfortantes	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
sencillos	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
casi	Spn	Spn	O	Correct
parcos	Spn	Spn	O	Correct
versos	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
dije	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
entonces	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
“	Punct	Punct	O	NA
Thus	Eng	Eng	O/PERSON	Correct
,	Punct	Punct	O	NA
my	Eng	Eng	O	Correct
father	Eng	Eng	O	Correct
was	Eng	Eng	O	Correct
able	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
be	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
harmoniously	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
a	Eng	Eng	O	Correct
boy	Eng	Eng	O	Correct
from	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
Bronx	NamedEnt	Eng	LOCATION/LOCATION	Correct
and	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
renowned	Eng	Eng	O	Correct
Golden	NamedEnt	Eng	O/PERSON	Correct
Age	NamedEnt	Eng	O/PERSON	Correct
scholar	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
someone	Eng	Eng	O	Correct
impassioned	Eng	Eng	O	Correct
by	Eng	Eng	O	Correct
Sephardic	Eng	Eng	O/MISC	Correct
ballads	Eng	Eng	O/MISC	Correct
,	Punct	Punct	O	NA
Cervantes	NamedEnt	Spn	PERSON/PERSON	Correct
and	Eng	Eng	O/PERSON	Correct
Lope	NamedEnt	Eng	PERSON/PERSON	Correct
de	NamedEnt	Spn	PERSON/PERSON	Correct
Vega	NamedEnt	Spn	PERSON/PERSON	Correct
,	Punct	Punct	O	NA
but	Eng	Eng	O	Correct
also	Eng	Eng	O	Correct
by	Eng	Eng	O	Correct
Peter	NamedEnt	Eng	PERSON/PERSON	Correct
Sellars	NamedEnt	Eng	PERSON/PERSON	Correct
or	Eng	Eng	O	Correct
The	NamedEnt	Eng	O/ORGANIZATION	Correct
Beatles	NamedEnt	Eng	O/ORGANIZATION	Correct
.	Punct	Punct	O	NA
"	Punct	Punct	O	NA
Concluí	Spn	Spn	O	Correct
citando	Spn	Spn	O	Correct
—	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
diciendo	Spn	Spn	O	Correct
querer	Spn	Spn	O	Correct
emular	Spn	Spn	O	Correct
—	Punct	Punct	O	NA
otra	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
tus	Spn	Spn	O	Correct
frases	Spn	Spn	O	Correct
favoritas	Spn	Spn	O	Correct
:	Punct	Punct	O	NA
“	Punct	Punct	O	NA
[	Punct	Punct	O	NA
La	Spn	Spn	O	Correct
vida	Spn	Spn	O	Correct
]	Punct	Punct	O	NA
es	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
arte	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
renunciar	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
nada	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
"	Punct	Punct	O	NA
Don’t	Eng	Eng	O	Correct
remember	Eng	Eng	O	Correct
now	Eng	Eng	O	Correct
who	Eng	Eng	O	Correct
said	Eng	Eng	O	Correct
that	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Lope	NamedEnt	Eng	PERSON/O	Correct
?	Punct	Punct	O	NA
Cervantes	NamedEnt	Spn	PERSON/PERSON	Correct
?	Punct	Punct	O	NA
Think	Eng	Eng	O	Correct
so	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Pero	Spn	Spn	O	Correct
part	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
me	Eng	Eng	O	Correct
never	Eng	Eng	O	Correct
wanted	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
sip	Eng	Eng	O	Correct
from	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
same	Eng	Eng	O	Correct
cup	Eng	Eng	O	Correct
que	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
nutrió	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
ti	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
didn’t	Eng	Eng	O	Correct
want	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
yet	Eng	Eng	O	Correct
I	Eng	Eng	O	Correct
was	Eng	Eng	O	Correct
fatally	Eng	Eng	O	Correct
drawn	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
los	Spn	Spn	O	Correct
clásicos	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Hell	Eng	Eng	O/PERSON	Correct
,	Punct	Punct	O	NA
si	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
hubiera	Spn	Spn	O	Correct
sido	Spn	Spn	O	Correct
por	Spn	Spn	O	Correct
Pizarnik	NamedEnt	Spn	PERSON/PERSON	Correct
,	Punct	Punct	O	NA
habría	Spn	Spn	O	Correct
hecho	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
casi	Spn	Spn	O	Correct
seguro	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
una	Spn	Spn	O	Correct
tesis	Spn	Spn	O	Correct
sobre	Spn	Spn	O	Correct
Cortázar	NamedEnt	Spn	O/PERSON	Correct
.	Punct	Punct	O	NA
O	Spn	Spn	O	Correct
Quevedito	NamedEnt	Spn	O/PERSON	Correct
.	Punct	Punct	O	NA
Remember	Eng	Eng	O/PERSON	Correct
,	Punct	Punct	O	NA
Daddy	NamedEnt	Eng	O/PERSON	Correct
?	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
remember	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
now	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
clearly	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
you	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
I	Eng	Eng	O/MISC	Correct
,	Punct	Punct	O	NA
escribiendo	Spn	Spn	O	Correct
late	Eng	Eng	O	Correct
late	Eng	Eng	O	Correct
into	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
night	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
juntos	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
tu	Spn	Spn	O	Correct
casa	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
Santa	NamedEnt	Spn	LOCATION/LOCATION	Correct
Cruz	NamedEnt	Spn	LOCATION/LOCATION	Correct
,	Punct	Punct	O	NA
inspirados	Spn	Spn	O	Correct
encendidos	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
hours	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
hours	Eng	Eng	O	Correct
thinking	Eng	Eng	O	Correct
about	Eng	Eng	O	Correct
that	Eng	Eng	O	Correct
one	Eng	Eng	O	Correct
line	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
“	Punct	Punct	O	NA
polvo	Spn	Spn	O	Correct
será	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
mas	Spn	Spn	O	Correct
polvo	Spn	Spn	O	Correct
enamorado	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
"	Punct	Punct	O	NA
What	Eng	Eng	O/MISC	Correct
bullshit	Eng	Eng	O/MISC	Correct
,	Punct	Punct	O	NA
Dad	NamedEnt	Eng	O/PERSON	Correct
.	Punct	Punct	O	NA
How	Eng	Eng	O	Correct
could	Eng	Eng	O	Correct
I	Eng	Eng	O	Correct
have	Eng	Eng	O	Correct
written	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
how	Eng	Eng	O	Correct
could	Eng	Eng	O	Correct
I	Eng	Eng	O	Correct
have	Eng	Eng	O	Correct
said	Eng	Eng	O	Correct
that	Eng	Eng	O	Correct
day	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
tan	Spn	Spn	O	Correct
smugly	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
tan	Spn	Spn	O	Correct
literarily	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
you	Eng	Eng	O	Correct
were	Eng	Eng	O	Correct
able	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
be	Eng	Eng	O	Correct
both	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
all	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
harmoniously	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Cuando	Spn	Spn	O	Correct
OB-vio	NonStSpn	Spn	O	NA
(	Punct	Punct	O	NA
pronunciación	Spn	Spn	O	Correct
porteñísima	Spn	Spn	O	Correct
)	Punct	Punct	O	NA
the	Eng	Eng	O	Correct
trying	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
los	Spn	Spn	O	Correct
choices	Eng	Eng	O	Correct
gnawed	Eng	Eng	O	Correct
at	Eng	Eng	O	Correct
your	Eng	Eng	O	Correct
insides	Eng	Eng	O	Correct
all	Eng	Eng	O	Correct
along	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Desde	Spn	Spn	O	Correct
tus	Spn	Spn	O	Correct
26	Num	Num	O	NA
años	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
desde	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
úlcera	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
pegaste	Spn	Spn	O	Correct
cuando	Spn	Spn	O	Correct
tu	Spn	Spn	O	Correct
mamá	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
La	NamedEnt	Spn	O/ORGANIZATION	Correct
Monte	NamedEnt	Spn	O/ORGANIZATION	Correct
(	Punct	Punct	O	NA
aka	Eng	Eng	O	Correct
Grandma	NamedEnt	Eng	O/PERSON	Correct
Edna	NamedEnt	Spn	PERSON/PERSON	Correct
Maslow	NamedEnt	Eng	PERSON/PERSON	Correct
)	Punct	Punct	O	NA
quiso	Spn	Spn	O	Correct
prevenir	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
casaras	Spn	Spn	O	Correct
con	Spn	Spn	O	Correct
mami	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
mudaras	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
Califas	NamedEnt	Spn	O/MISC	Correct
from	Eng	Eng	O/MISC	Correct
New	NamedEnt	Eng	LOCATION/MISC	Correct
York	NamedEnt	Eng	LOCATION/MISC	Correct
and	Eng	Eng	O/MISC	Correct
some	Eng	Eng	O/MISC	Correct
doctor	Eng	Spn	O/MISC	Incorrect
or	Eng	Eng	O/MISC	Correct
shrink	Eng	Eng	O/MISC	Correct
,	Punct	Punct	O	NA
qué	Spn	Spn	O	Correct
sé	Spn	Spn	O	Correct
sho	NonStSpn	Eng	O	NA
,	Punct	Punct	O	NA
te	Spn	Spn	O	Correct
aconsejó	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
well	Eng	Eng	O	Correct
sonny	Eng	Eng	O	Correct
boy	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
it’s	Eng	Eng	O	Correct
your	Eng	Eng	O	Correct
mother	Eng	Eng	O	Correct
or	Eng	Eng	O	Correct
your	Eng	Eng	O	Correct
wife	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
you	Eng	Eng	O	Correct
pick	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
And	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
did	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
you	Eng	Eng	O	Correct
did	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
But	Eng	Eng	O/PERSON	Correct
at	Eng	Eng	O	Correct
what	Eng	Eng	O	Correct
price	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Daddy	NamedEnt	Eng	O/PERSON	Correct
.	Punct	Punct	O	NA
Just	Eng	Eng	O/PERSON	Correct
like	Eng	Eng	O	Correct
el	NamedEnt	Spn	O	Incorrect
Caballero	NamedEnt	Spn	ORGANIZATION/PERSON	Correct
de	Spn	Spn	ORGANIZATION/PERSON	Correct
la	Spn	Spn	ORGANIZATION/PERSON	Correct
Triste	NamedEnt	Spn	ORGANIZATION/PERSON	Correct
Figura	NamedEnt	Spn	ORGANIZATION/PERSON	Correct
,	Punct	Punct	O	NA
the	Eng	Eng	O	Correct
study	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
whom	Eng	Eng	O	Correct
made	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
famous	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
eras	Spn	Spn	O	Correct
solitario	Spn	Spn	O	Correct
even	Eng	Eng	O	Correct
en	Spn	Spn	O	Correct
toda	Spn	Spn	O	Correct
tu	Spn	Spn	O	Correct
solidaridad	Spn	Spn	O	Correct
humana	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
En	Spn	Spn	O	Correct
realidad	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
un	Spn	Spn	O	Correct
fantasioso	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Incluso	Spn	Spn	O	Correct
algo	Spn	Spn	O	Correct
mesiánico	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Try	Eng	Eng	O/PERSON	Correct
as	Eng	Eng	O	Correct
I	Eng	Eng	O/MISC	Correct
might	Eng	Eng	O/MISC	Correct
,	Punct	Punct	O	NA
no	Spn	Spn	O	Correct
puedo	Spn	Spn	O	Correct
recordarte	Spn	Spn	O	Correct
mean	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
try	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
conjure	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
stern	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
and	Eng	Eng	O	Correct
instead	Eng	Eng	O	Correct
I	Eng	Eng	O	Correct
hear	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
snort	Eng	Eng	O	Correct
with	Eng	Eng	O	Correct
laughter	Eng	Eng	O	Correct
sobre	Spn	Spn	O	Correct
los	Spn	Spn	O	Correct
ridículos	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
amateurish	Eng	Eng	O	Correct
“	Punct	Punct	O	NA
professional	Eng	Eng	O	Correct
"	Punct	Punct	O	NA
musicians	Eng	Eng	O	Correct
—	Punct	Punct	O	NA
esos	Spn	Spn	O	Correct
Musicians	NamedEnt	Eng	O/MISC	Correct
of	NamedEnt	Eng	O/MISC	Correct
Brementown	NamedEnt	Eng	O/MISC	Correct
:	Punct	Punct	O	NA
todos	Spn	Spn	O	Correct
off-key	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
mal	Spn	Spn	O	Correct
vestidos	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
hasta	Spn	Spn	O	Correct
inhabiting	Eng	Eng	O	Correct
an	Eng	Eng	O	Correct
ill-concealed	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
unsavory	Eng	Eng	O	Correct
bordering-on-incestuous	Eng	Eng	O	Correct
relationship	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
la	Spn	Spn	O	Correct
madre-hijo	Spn	Spn	O	Correct
team	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
piano	Eng	Spn	O	Incorrect
,	Punct	Punct	O	NA
te	Spn	Spn	O	Correct
acuerdas	Spn	Spn	O	Correct
?	Punct	Punct	O	NA
—	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
ese	Spn	Spn	O	Correct
unforgettable	Eng	Eng	O	Correct
Sofía	NamedEnt	Spn	PERSON/PERSON	Correct
Noel	NamedEnt	Spn	PERSON/PERSON	Correct
concert	Eng	Eng	O	Correct
en	Spn	Spn	O	Correct
Madrid	NamedEnt	Spn	LOCATION/LOCATION	Correct
en	Spn	Spn	O	Correct
1979	Num	Num	O	NA
Yeah	Eng	Eng	O/PERSON	Correct
,	Punct	Punct	O	NA
fuimos	Spn	Spn	O	Correct
con	Spn	Spn	O	Correct
Selma	NamedEnt	Spn	LOCATION/PERSON	Correct
.	Punct	Punct	O	NA
En	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
Centro	NamedEnt	Spn	O/LOCATION	Correct
Cultural	NamedEnt	Spn	O/LOCATION	Correct
de	Spn	Spn	O/LOCATION	Correct
la	Spn	Spn	O	Correct
Villa	NamedEnt	Spn	O/LOCATION	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
Colón	NamedEnt	Spn	O/LOCATION	Correct
.	Punct	Punct	O	NA
O	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
veo	Spn	Spn	O	Correct
casi	Spn	Spn	O	Correct
llorando	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
crooning	Eng	Eng	O	Correct
along	Eng	Eng	O	Correct
with	Eng	Eng	O	Correct
James	NamedEnt	Eng	PERSON/PERSON	Correct
Taylor’s	NamedEnt	Eng	PERSON/O	Correct
first	Eng	Eng	O	Correct
album	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
“	Punct	Punct	O	NA
Suzanne	NamedEnt	Spn	O/PERSON	Correct
,	Punct	Punct	O	NA
the	Eng	Eng	O	Correct
plans	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
made	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
put	Eng	Eng	O	Correct
an	Eng	Eng	O	Correct
end	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
.	Punct	Punct	O	NA
"	Punct	Punct	O	NA
Intento	Spn	Spn	O	Correct
recordar	Spn	Spn	O	Correct
tu	Spn	Spn	O	Correct
legendario	Spn	Spn	O	Correct
temper	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
and	Eng	Eng	O	Correct
instead	Eng	Eng	O	Correct
te	Spn	Spn	O	Correct
veo	Spn	Spn	O	Correct
sneaking	NamedEnt	Eng	O	Incorrect
me	NamedEnt	Spn	O	Incorrect
,	Punct	Punct	O	NA
at	Eng	Eng	O	Correct
age	Eng	Eng	O	Correct
12	Num	Num	O	NA
,	Punct	Punct	O	NA
into	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
drive-in	Eng	Eng	O	Correct
para	Spn	Spn	O	Correct
ver	Spn	Spn	O	Correct
“	Punct	Punct	O	NA
Midnight	NamedEnt	Eng	O/MISC	Correct
Cowboy	NamedEnt	Eng	O/MISC	Correct
